english,portuguese
back,Voltar
bald,careca
belly,barriga
blonde,loira
bum,vagabundo
cheek,bochecha
chest,peito
chin,queixo
cold (a),frio (a)
cough,Tosse
curly,encaracolado
dark hair,cabelo escuro
ears,ouvidos
elbow,cotovelo
eyebrow,sobrancelha
eyelashes,pestanas
face,rosto
feet,pés
fingers,dedos
hair,cabelo
head,cabeça
heel,calcanhar
legs,pernas
lips,lábios
long,Longo
mouth,boca
nose,nariz
red (hair),vermelho (cabelo)
short,curto
shoulders,ombros
sneeze,Espirrar
straight,reta
teeth,dentes
thumbs,polegares
toes,toes
tongue,língua
wavy,ondulado
yawn,bocejo
